회차,교시,번호,문제명,대분류,핵심 키워드,난이도
119,3,4,그린 데이터 센터 전기설비 효율 향상 구축 방안 설명,8. 법규/설계,그린 데이터 센터 PUE 효율화,중
119,3,5,단거리선로 옴법 전압강하 계산식(등가회로 및 벡터도) 설명,1. 기초 이론,전압강하 계산식 벡터도,중
119,3,6,전기자동차 전원공급설비 저압선로 및 충전/방호장치 시설,5. 신재생/신기술,전기자동차 충전설비 시설기준,중
119,4,1,수변전실 설계 시 고려해야 할 사항 설명,8. 법규/설계,수변전실 위치 선정 설계고려사항,중
119,4,2,태양전지의 최대 전력점(MPP)과 효율 설명,5. 신재생/신기술,태양전지 MPP 효율 특성곡선,중
119,4,3,병렬 도체 접속 시 고려사항 및 케이블 특수 배치 방법 설명,3. 수배전 설비,병렬케이블 배치 전류불평형 방지,상
119,4,4,"방화구획재 종류 및 내화구조, 난연/내열케이블 특성 설명",6. KEC/접지/방재,방화구획 내화구조 난연케이블,중
119,4,5,전동기용 분기회로 개폐기/과전류차단기/전선 굵기 선정,3. 수배전 설비,전동기 분기회로 설계기준,중
119,4,6,GIS(가스절연개폐장치) 구성 기기 및 재래식 대비 장점 설명,3. 수배전 설비,GIS 구성 장점 SF6 가스,중
120,1,1,피뢰기(LA) 정격 선정 고려사항 및 서지흡수기(SA) 정격 설명,3. 수배전 설비,LA SA 정격선정 고려사항,중
120,1,2,"수변전설비 모선방식(단일모선, 섹션모선, 이중모선) 설명",3. 수배전 설비,모선방식 단일모선 이중모선,하
120,1,3,전력퓨즈(Power Fuse)의 종류 및 기능과 특징 설명,3. 수배전 설비,전력퓨즈 한류형 비한류형,하
120,1,4,역률개선용 전력콘덴서 설치 시 기대효과 설명,3. 수배전 설비,역률개선 콘덴서 기대효과,하
120,1,5,직류 2선식 전압강하 계산식 유도,1. 기초 이론,직류 전압강하 유도식,상
120,1,6,비상조명등 부하에 따른 연축전지(HS형) 용량 계산,3. 수배전 설비,축전지 용량산정 용량환산시간 K,상
120,1,7,노외주차장 조명설비 및 CCTV 설치기준 설명,8. 법규/설계,노외주차장 조명 CCTV 설치기준,중
120,1,8,건축전기설비 내진설계 목적 및 개념도 설명,6. KEC/접지/방재,전기설비 내진설계 목적 개념,중
120,1,9,"열전효과 개요와 3가지 효과(제베크, 펠티에, 톰슨) 설명",1. 기초 이론,열전효과 제베크 펠티에 톰슨,중
120,1,10,전력기술관리법 시행령상 감리원의 업무범위 설명,8. 법규/설계,감리원 업무범위 전력기술관리법,하
120,1,11,전기울타리 시설 방법 및 전원장치 기준 설명,8. 법규/설계,전기울타리 시설기준 전원장치,하
120,1,12,건축전기설비(IEC 60364) 적용시설 및 적용제외 대상 설명,8. 법규/설계,IEC 60364 적용대상 제외시설,중
120,1,13,V2G(Vehicle to Grid) 도입 배경 및 정의 설명,5. 신재생/신기술,V2G 도입배경 정의,하
120,2,1,빌딩 정전기 발생원인과 방지대책 설명,8. 법규/설계,빌딩 정전기 방지대책,중
120,2,2,의료기기 장착부별 구분 및 비상전원 종류와 요구사항,8. 법규/설계,의료장소 비상전원 장착부 구분,상
120,2,3,전력계통 중성점 접지방식의 목적 및 방식별 특징 비교,2. 전력 계통,중성점 접지방식 비교 지락전류,중
120,2,4,550세대 고층아파트 단지 수전/변전/발전설비 기획,8. 법규/설계,아파트 전기설비 기획 부하산정,상
120,2,5,3상 유도전동기 결상 시 역상전류 증명 및 보호방식 설명,4. 부하 설비,유도전동기 결상 역상전류 보호,상
120,2,6,방폭형 조명기구 구조/종류 및 폭발위험장소 등급구분,6. KEC/접지/방재,방폭조명 폭발위험장소 구분,상
120,3,1,풍력발전설비 구성요소 및 비상정지/전력변환장치 검사항목,5. 신재생/신기술,풍력발전 구성요소 검사항목,중
120,3,2,주차관제설비 신호제어장치 및 차체 검지기 분류 설명,4. 부하 설비,주차관제 신호제어 차체검지기,하
120,3,3,자동화재탐지설비 비화재보 종류와 원인 및 대책 설명,6. KEC/접지/방재,비화재보 원인 대책,중
120,3,4,광고조명 조명방식과 설치기준 및 휘도측정방법 설명,4. 부하 설비,광고조명 설치기준 휘도측정,중
120,3,5,인텔리전트 빌딩 정의 및 에너지 절약 요소와 경제성,8. 법규/설계,인텔리전트빌딩 에너지절약 구비조건,중
120,3,6,전력간선 굵기산정 흐름도 및 선정 시 고려사항 설명,3. 수배전 설비,간선 굵기선정 허용전류 전압강하,중
120,4,1,케이블 단락 시 기계적 강도 계산 필요성 및 프로세스 설명,3. 수배전 설비,케이블 단락전자력 기계적강도,상
120,4,2,발전기실 설계 시 건축/환경/전기적 고려사항 및 구조 설명,3. 수배전 설비,발전기실 설계 건축전기 고려사항,중
120,4,3,공동주택 세대별 원격검침설비 설계 시 고려사항 설명,8. 법규/설계,원격검침설비 설계 고려사항,하
120,4,4,전력선에 의한 통신유도장해 발생원인과 대책 설명,2. 전력 계통,통신유도장해 전자유도 정전유도,중
120,4,5,연료전지 발전설비 정의 및 시스템 구성요소별 기능 설명,5. 신재생/신기술,연료전지 시스템 구성 기능,중
120,4,6,엘리베이터 운전방식/설치계획 고려사항 및 설치기준 설명,4. 부하 설비,엘리베이터 운전방식 설치계획,중
121,1,1,통합접지 시공 시 감전보호용 등전위본딩 적용 대상 및 시설 방법,6. KEC/접지/방재,등전위본딩 통합접지,중
121,1,2,통합자동제어설비의 설계순서 및 제어방법 설명,8. 법규/설계,통합자동제어 설계 BAS,중
121,1,3,3상 단락고장 시 고장전류 계산 목적과 계산 순서 설명,2. 전력 계통,단락전류 계산목적 절차,중
121,1,4,변압기 여자돌입전류 발생 원인 및 보호장치 오동작 방지 대책,3. 수배전 설비,여자돌입전류 오동작 방지,상
121,1,5,절연계급과 기준충격절연강도(BIL)에 대한 각각의 설명,3. 수배전 설비,절연계급 BIL 절연협조,중
121,1,6,전기설비에서 영상분 고조파가 콘덴서에 미치는 영향 설명,3. 수배전 설비,영상분 고조파 콘덴서 과열,중
121,1,7,허용 보폭전압(Step Voltage)의 정의와 계산 방법 설명,6. KEC/접지/방재,보폭전압 계산 접지설계,상
121,1,8,전기설비 배선의 표피효과와 근접효과에 대한 설명,1. 기초 이론,표피효과 근접효과 도체저항,중
121,1,9,옥내 저압간선의 허용전류 및 분기회로 과전류 차단기 생략 조건,3. 수배전 설비,저압간선 허용전류 차단기 생략,중
121,1,10,사무실용 LED 조명의 색온도 특성 설명,4. 부하 설비,LED 색온도 연색성,하
121,1,11,에너지 이용 합리화를 위한 기본계획 설명,7. 에너지/진단,에너지이용합리화 기본계획,하
121,1,12,신재생에너지 단독운전 시 문제점과 방지 대책 설명,5. 신재생/신기술,단독운전 방지 LOM,중
121,1,13,터널조명 설계 시 플리커(Flicker) 발생 원인과 대책 설명,4. 부하 설비,터널조명 플리커 대책,중
121,2,1,ESS(Energy Storage System)의 안전 강화를 위한 시설 기준 설명,5. 신재생/신기술,ESS 안전기준 화재대책,상
121,2,2,정전 작업 시 감전사고 방지를 위한 안전 조치 및 작업 방법,8. 법규/설계,정전작업 5대 안전수칙,중
121,2,3,22.9kV 수배전반 주요자재 품질기준 및 공장 검수 확인 사항,8. 법규/설계,수배전반 공장검수 감리업무,중
121,2,4,"디지털 보호계전기의 특성, 기본 구성 및 주요 기능 설명",3. 수배전 설비,디지털 계전기 구성 기능,중
121,2,5,공동구 전기설비 설계기준 및 케이블 방화대책 설명,6. KEC/접지/방재,공동구 설계 방화구획,중
121,2,6,"제로 에너지 빌딩(Zero Energy Building) 개념, 적용기술 및 기대효과",7. 에너지/진단,제로에너지빌딩 적용기술,중
121,3,1,누전차단기 동작원리 및 인체 감전전류 산출을 통한 선정 계산,3. 수배전 설비,누전차단기 감전전류 계산,상
121,3,2,"변압기 무부하/단락 시험 방법 및 임피던스 전압, 효율, 전압변동률",3. 수배전 설비,변압기 특성시험 전압변동률,상
121,3,3,벡터도를 이용한 전압강하식 유도 및 3상 4선식 계산식 증명,1. 기초 이론,전압강하 유도 벡터도,상
121,3,4,동기전동기의 토크와 부하각 특성 및 안전운전 범위 설명,4. 부하 설비,동기전동기 부하각 특성,상
121,3,5,"피뢰기(LA) 구비조건, 동작특성, 설치장소 및 보호 유효거리",3. 수배전 설비,피뢰기 설치장소 유효거리,중
121,3,6,"전력기술관리법에 따른 설계감리 대상, 자격 및 업무 내용 설명",8. 법규/설계,설계감리 대상 업무내용,하
121,4,1,이종(異種) 금속 접촉에 의한 부식 원인 및 방지 대책 설명,6. KEC/접지/방재,전식 갈바닉 부식 방지,중
121,4,2,"전자화 배전반의 구성, 기능, 문제점 및 진단 시스템 설명",3. 수배전 설비,전자화 배전반 예방진단,중
121,4,3,"전력용 변압기의 보호장치(전기적, 기계적 보호) 설명",3. 수배전 설비,변압기 보호장치 비율차동,중
121,4,4,대칭 및 비대칭 단락전류 계산 방법에 대한 구분 설명,2. 전력 계통,단락전류 계산 비대칭계수,상
121,4,5,"학교조명(교실, 급식실, 강당) 설계 시 고려사항 설명",4. 부하 설비,학교조명 설계기준,하
121,4,6,동력제어반(MCC)의 구성 기기 및 공사감리 시 검토 사항 설명,8. 법규/설계,MCC 구성 감리검토사항,중
122,1,1,전력반도체 중 IGCT(Integrated Gate Commutated Thyristor) 설명,5. 신재생/신기술,전력반도체 IGCT 인버터,상
122,1,2,피뢰기(LA)의 단로장치(Isolator/Disconnector) 설명,3. 수배전 설비,피뢰기 단로장치 Isolator,중
122,1,3,빌딩 내 수변전설비의 변압기뱅크 2차측 모선방식 설명,3. 수배전 설비,변압기 뱅킹 모선방식,하
122,1,4,옥내배선공사의 케이블 트렌치 공사 시설기준 설명,3. 수배전 설비,케이블 트렌치 시설기준,하
122,1,5,태양광설비 시공기준(모듈 제품 설치용량 설치상태) 설명,5. 신재생/신기술,태양광 시공기준 모듈설치,중
122,1,6,무정전전원장치(UPS)용 대용량 축전지 선정 요구사항 및 필요조건,3. 수배전 설비,UPS 축전지 선정조건,상
122,1,7,전기사업법령상 전기의 품질기준 및 유지 방법 설명,8. 법규/설계,전기 품질기준 표준전압 주파수,하
122,1,8,공동주택 세대별 원격검침설비 기기 구성 및 전송선로 배선 설명,8. 법규/설계,원격검침 시스템 구성,하
122,1,9,분산형 전원의 배전계통연계 목적 및 연계기술기준 설명,5. 신재생/신기술,분산형전원 계통연계기준,중
122,1,10,전기자동차(EV) 충전방식(급속 완속 등) 설명,5. 신재생/신기술,EV 충전방식 콤보 차데모,하
122,1,11,이차전지 이용 전기저장장치(ESS)의 제어 및 보호장치 시설기준,5. 신재생/신기술,ESS 보호장치 시설기준,상
122,1,12,전원외란 중 순시전압강하(Voltage Sag)와 전압변동 원인 및 영향,2. 전력 계통,순시전압강하 전압변동 영향,중
122,1,13,"조명 용어 설명(시감도, 순응, 퍼킨제 효과)",4. 부하 설비,시감도 순응 퍼킨제효과,하
122,2,1,지능형 홈네트워크 필수 설비 예비전원 및 사용기기 설치기준,8. 법규/설계,홈네트워크 설치기준 예비전원,중
122,2,2,디젤엔진발전기 설치 시 준공검사에 필요한 점검사항 설명,3. 수배전 설비,비상발전기 준공점검,중
122,2,3,개폐서지(Surge)의 종류와 대책 설명,3. 수배전 설비,개폐서지 종류 개폐서지 흡수기,상
122,2,4,전동기의 보호장치 및 보호방식(과부하 단락 결상 등) 설명,4. 부하 설비,전동기 보호방식 보호계전기,중
122,2,5,리튬이온 전지 동작원리 특징 및 ESS 사용 시 안전대책,5. 신재생/신기술,리튬이온배터리 ESS 안전대책,상
122,2,6,전력케이블의 열화 요인/형태 및 방지대책과 진단방법 설명,3. 수배전 설비,케이블 열화진단 수트리,상
122,3,1,배전선로 전력손실 정의 및 경감 대책 설명,2. 전력 계통,전력손실 경감대책 역률개선,하
122,3,2,전선을 병렬로 사용하는 경우 포설방법과 접속방법 설명,3. 수배전 설비,병렬전선 포설방법 전류불평형,중
122,3,3,인공조명에 의한 빛공해 방지법에 대하여 설명,8. 법규/설계,빛공해방지법 조명환경관리구역,하
122,3,4,엘리베이터의 속도제어방식 종류와 특성 설명,4. 부하 설비,엘리베이터 속도제어 VVVF,중
122,3,5,풍력발전시스템 구성/원리 및 계통 연계 시 영향과 대책,5. 신재생/신기술,풍력발전 계통연계 영향,상
122,3,6,지중전선로 시설방식/종류/지중함 시설 및 상호 접근 시 시설방법,3. 수배전 설비,지중전선로 시설기준 지중함,중
122,4,1,구내방송설비 스피커 종류 및 배치방법(사무실/공연장/체육관),4. 부하 설비,구내방송 스피커 배치 BGM,하
122,4,2,에너지 하베스팅 기술과 압전 발전의 원리 및 기술동향,5. 신재생/신기술,에너지하베스팅 압전소자,상
122,4,3,전기사업용 ESS 사용전검사 시 사전제출 자료 및 검사항목,5. 신재생/신기술,ESS 사용전검사 검사항목,중
122,4,4,케이블의 수트리(Water Tree) 현상에 대하여 설명,3. 수배전 설비,케이블 수트리 열화 메커니즘,상
122,4,5,항공장애 표시등 설치대상/제외대상/종류 및 설치방법,8. 법규/설계,항공장애 표시등 설치기준,중
122,4,6,터널조명 설계기준(설계속도 정지거리 각 부위별 조명요건),4. 부하 설비,터널조명 설계기준 유지관리,상
123,1,1,건축전기설비 설계 시 종합방재실 설치목적 및 타 공종 협의사항,8. 법규/설계,종합방재실 인터페이스,중
123,1,2,변압기 절연방식 중 저감절연 및 단절연의 이유와 이점,3. 수배전 설비,저감절연 단절연 변압기 절연,중
123,1,3,단락사고 시 단락전류 Peak 값이 1/2 cycle에서 최대가 되는 이유,2. 전력 계통,단락전류 최대값 비대칭계수,상
123,1,4,고조파 발생원인과 저감대책 설명,3. 수배전 설비,고조파 발생원인 저감대책,하
123,1,5,XLPE케이블 수트리(Water Tree) 발생원인 및 부위별 분류,3. 수배전 설비,케이블 수트리 열화,중
123,1,6,플로어덕트(Floor Duct) 공사 방법의 특징 및 유의사항,3. 수배전 설비,플로어덕트 시설기준,하
123,1,7,KEC 시행에 따른 전압 종별/전선 식별/시험전압 및 절연저항 기준,6. KEC/접지/방재,KEC 전압종별 전선식별,중
123,1,8,건축전기설비 설계기준상 간선의 배선방식 종류 및 특징,3. 수배전 설비,간선 배선방식 개별평행방식,하
123,1,9,박물관 및 미술관 전시물 조명 손상 원인 및 방지대책,4. 부하 설비,박물관 조명 손상방지,중
123,1,10,전기용접기 부하용 자기누설변압기의 원리 설명,3. 수배전 설비,자기누설변압기 용접기부하,중
123,1,11,가시광선 파장범위와 자외선 및 적외선 이용 광원 설명,4. 부하 설비,광원 종류 파장범위,하
123,1,12,계측기용 및 보호계전기용 변류기(CT)의 과전류 특성 비교,3. 수배전 설비,계측용 CT 보호용 CT 차이,상
123,1,13,태양광 발전설비의 주요 구성과 Hotspot 현상 설명,5. 신재생/신기술,태양광 Hotspot 바이패스 다이오드,중
123,2,1,전기회로 선로정수(R L C G)의 구성요소 및 특성,1. 기초 이론,선로정수 저항 인덕턴스 정전용량,하
123,2,2,정보설비 신호구성 4요소 및 전파의 성질과 분류,8. 법규/설계,신호구성요소 전파의 성질,중
123,2,3,전류에 의한 도선 간 전자력 계산 및 플레밍의 왼손법칙,1. 기초 이론,도선간 전자력 플레밍의 왼손법칙,상
123,2,4,전력계통 기준충격절연강도(BIL) 및 절연협조 정의와 고려사항,3. 수배전 설비,BIL 절연협조 피뢰기,중
123,2,5,분산형전원 특징 및 배전계통 연계 시 운영상 문제점과 대책,5. 신재생/신기술,분산형전원 계통연계 영향,상
123,2,6,비행장 등화의 종류와 설치기준 설명,8. 법규/설계,비행장 등화 설치기준,중
123,3,1,"조도측정 단위구역별 평균조도 측정방법(1점법, 2점법, 5점법)",4. 부하 설비,평균조도 측정방법 조도계,중
123,3,2,내진설계 대상 건축물 및 수변전설비의 내진설계 대책,6. KEC/접지/방재,내진설계 수변전설비 고정방법,중
123,3,3,인텔리전트 빌딩 LAN의 정의/분류/구성 및 동작 설명,8. 법규/설계,LAN 구성 성형 버스형 토폴로지,하
123,3,4,발전소 내 전선로의 선정과 공사방법 설명,3. 수배전 설비,발전소 전선로 공법,중
123,3,5,폭발위험장소 구분/누출등급/개구부 종류 및 범위 선정 고려사항,6. KEC/접지/방재,방폭구조 폭발위험장소 0종,상
123,3,6,차단기 개폐서지 종류와 특징 및 고압/저압측 대책,3. 수배전 설비,개폐서지 대책 서지흡수기(SA),상
123,4,1,자가용 수전설비 계획 시 설계순서 및 에너지절감 대책,3. 수배전 설비,수전설비 설계순서 에너지절감,중
123,4,2,영상변류기(ZCT) 원리 및 접지방식별 지락보호 방식 비교,3. 수배전 설비,ZCT 원리 직접접지 비접지 보호,상
123,4,3,스키장 야간조명설비 설계(눈부심 및 안전 고려),4. 부하 설비,스키장 조명 설계 글레어,하
123,4,4,KS C IEC 60364 및 62305-1에 따른 과전압 보호 방식,6. KEC/접지/방재,과전압 보호 SPD 절연협조,상
123,4,5,"농형 유도전동기의 기동방식(직입, Y-D, 리액터 등) 설명",4. 부하 설비,유도전동기 기동법 농형,하
123,4,6,기존 전력망과 스마트 그리드 특징 비교 및 산업 변화 전망,5. 신재생/신기술,스마트그리드 양방향 전력망,중
124,1,1,유도전동기 진동과 소음의 원인 설명,4. 부하 설비,유도전동기 진동 소음,하
124,1,2,전력케이블 충전전류 발생원인 및 문제점 영향 설명,3. 수배전 설비,충전전류 정전용량,중
124,1,3,파워퓨즈(PF) 한류형과 비한류형의 구조 및 특징 비교,3. 수배전 설비,한류형 PF 비한류형 PF,중
124,1,4,광원 색온도 정의 및 조도와의 관계 설명,4. 부하 설비,색온도 조도 Kruithof 곡선,하
124,1,5,전기재료의 전기적 고유특성 3가지(도전 절연 유전) 설명,1. 기초 이론,도전율 절연내력 유전율,하
124,1,6,대지저항률 측정 웨너(Wenner) 4전극법 및 대지저항률 특성 설명,6. KEC/접지/방재,웨너 4전극법 대지저항률,상
124,1,7,전력계통 유효접지와 비유효접지 비교 설명,2. 전력 계통,유효접지 직접접지 비유효접지,상
124,1,8,변류기 Knee Point Voltage 정의 및 CT에 미치는 영향 설명,3. 수배전 설비,Knee Point 포화특성,상
124,1,9,보호계전기 정의 및 오동작 방지 조건 설명,3. 수배전 설비,보호계전기 오동작 방지,중
124,1,10,차단기 캐스케이드(Cascade) 보호협조 방식 및 차단방법 설명,3. 수배전 설비,캐스케이드 차단 보호협조,중
124,1,11,과도현상에서 최대전력 전달조건(R L C 회로별) 설명,1. 기초 이론,최대전력 전달조건 임피던스 매칭,상
124,1,12,3상 유도전동기 전기적 제동방식 4가지 설명,4. 부하 설비,유도전동기 제동 발전제동 회생제동,중
124,1,13,정전기 방전현상 중 코로나 방전 설명,1. 기초 이론,정전기 코로나 방전,하
124,2,1,대형 건축물 변전실 위치/기기배치/건축 고려사항 및 면적 결정 요소,8. 법규/설계,변전실 설계 고려사항,중
124,2,2,대칭좌표법에 의한 1선 지락고장 대칭분 및 지락전류 산출 설명,2. 전력 계통,대칭좌표법 1선 지락전류 계산,상
124,2,3,유도전동기 속도제어 기본식 및 제어 방법 종류와 적용 설명,4. 부하 설비,유도전동기 속도제어 인버터,중
124,2,4,LEMP 보호대책시스템(LPMS) 및 피뢰구역(LPZ) 대책 설명,6. KEC/접지/방재,LPMS LPZ 뇌전자기임펄스,상
124,2,5,대용량 에너지 저장시스템(BESS) 구성도 및 전지종류별 특징 기술동향,5. 신재생/신기술,BESS 리튬이온배터리,상
124,2,6,변류기 비오차/합성오차/비보정 계수 설명 및 비오차 계산,3. 수배전 설비,CT 비오차 계산 RCF,상
124,3,1,수변전설비 변압기 뱅크 구성방법 및 모선 구성방식 특징 설명,3. 수배전 설비,변압기 뱅크 구성 모선방식,중
124,3,2,건축전기설비 내진설계 고려사항 및 기기별(TR 발전기 등) 내진대책,6. KEC/접지/방재,전기설비 내진설계 방진,중
124,3,3,신·재생에너지 정의/특징 및 11가지 종류 설명,5. 신재생/신기술,신재생에너지 종류,하
124,3,4,초고층 건축물 수직간선 계획/선정 고려사항 및 부설방법별 대책,8. 법규/설계,초고층 수직간선 전압강하,중
124,3,5,조명기구 특성 기능(배광 휘도특성 기구효율) 설명,4. 부하 설비,조명기구 배광 기구효율,하
124,3,6,변압기 여자돌입전류 발생 메커니즘(투입 시 전압 위상별) 설명,3. 수배전 설비,여자돌입전류 메커니즘 잔류자속,상
124,4,1,예비전원 설비 축전지용량 산정방법 설명,3. 수배전 설비,축전지 용량산정 보수율,상
124,4,2,건물일체형 태양광발전(BIPV) 시스템 구조/특징 및 일반 PV와 비교,5. 신재생/신기술,BIPV 태양광 모듈,중
124,4,3,선로 이상전압 발생원인과 보호대책 설명,2. 전력 계통,이상전압 보호대책 피뢰기,중
124,4,4,박물관 및 미술관 전시조명 설계 시 고려사항 설명,4. 부하 설비,전시조명 설계 연색성,중
124,4,5,KEC 접지방식 중 TN TT IT 계통접지 시스템 설명,6. KEC/접지/방재,KEC 접지계통 TN TT IT,상
124,4,6,에스컬레이터 전원용량 산정방법과 안전장치 설명,4. 부하 설비,에스컬레이터 전원용량 안전장치,중
125,1,1,의료시설의 매크로쇼크(Macro Shock)와 마이크로쇼크(Micro Shock) 설명,8. 법규/설계,매크로쇼크 마이크로쇼크 의료장소,중
125,1,2,전력퓨즈(PF)의 주요특성 및 정격 차단용량 설명,3. 수배전 설비,전력퓨즈 주요특성 차단용량,하
125,1,3,특고압 수용가 부족전압계전기(UVR) 설치위치 및 동작시간,3. 수배전 설비,UVR 설치위치 동작시간,중
125,1,4,"차단기 명판 정보(BIL 150kV, 12.5kA 등)의 의미와 정격 설명",3. 수배전 설비,차단기 정격 BIL 차단전류,중
125,1,5,건물관리시스템(BEMS)의 도입목적 및 세부사항 설명,7. 에너지/진단,BEMS 도입목적 세부사항,하
125,1,6,무정전전원공급장치(UPS) 부하용량 산정 및 고려사항 설명,3. 수배전 설비,UPS 용량산정 고려사항,상
125,1,7,전기화재 원인 트래킹(Tracking) 발생 메커니즘 및 방지대책,6. KEC/접지/방재,트래킹 화재 메커니즘 방지대책,중
125,1,8,조도계산 광손실률(LLF) 및 회복 가능/불가능 요인 설명,4. 부하 설비,광손실률 감광보상률 회복요인,하
125,1,9,공동주택 단위 세대의 부하산정 방법 설명,8. 법규/설계,공동주택 부하산정 단위세대,하
125,1,10,의료장소 상용전원 중단 시 비상전원 공급 방안(KEC 규정),8. 법규/설계,의료장소 비상전원 공급방안,중
125,1,11,전력시설물 설계감리 대상/업무범위/설계도서 보관의무 설명,8. 법규/설계,설계감리 업무범위 보관의무,하
125,1,12,전자기학 맥스웰 방정식(Maxwell Equation)에 대하여 설명,1. 기초 이론,맥스웰 방정식 전자기학,상
125,1,13,KEC 접지설계 주요사항 및 수전전압별 고려사항 설명,6. KEC/접지/방재,KEC 접지설계 고려사항,중
125,2,1,서지보호장치(SPD) 적용범위/보호협조/적용장소 설명,6. KEC/접지/방재,SPD 보호협조 적용장소,중
125,2,2,XLPE 케이블 구조/특징 및 시스(Sheath) 전위 저감 접지방식,3. 수배전 설비,XLPE 케이블 시스접지 전위저감,상
125,2,3,정류기/인버터 리플프리 직류 및 백리플 발생원인과 대책,3. 수배전 설비,리플프리 직류 백리플 대책,상
125,2,4,전기 샤프트(ES) 및 정보통신용 샤프트(TPS) 설계 시 고려사항,8. 법규/설계,전기샤프트 면적산정 TPS,중
125,2,5,지능형 홈네트워크 설비 설치방법 및 고려사항 설명,8. 법규/설계,홈네트워크 설비 설치기준,하
125,2,6,GIS(가스절연개폐장치) 예방진단기술(부분방전/누설전류 등) 설명,3. 수배전 설비,GIS 예방진단 부분방전 UHF,상
125,3,1,변전소 메쉬접지 보폭전압/접촉전압 개념 및 저감대책 설명,6. KEC/접지/방재,메쉬접지 보폭전압 접촉전압,상
125,3,2,계기용 변류기(CT) 과전류강도/부담 및 ZCT 실드 접지선 관통 여부,3. 수배전 설비,CT 과전류강도 ZCT 실드접지,상
125,3,3,역률개선용 콘덴서 사고 형태별 보호방식 및 내부소자 보호,3. 수배전 설비,콘덴서 보호방식 내부소자 보호,중
125,3,4,교량 경관조명 계획 시 고려사항 및 형식별 분류 설명,4. 부하 설비,교량 경관조명 조명계획,하
125,3,5,방폭장소 및 클린룸에 설치하는 조명기구에 대하여 설명,4. 부하 설비,방폭조명 클린룸 조명기구,중
125,3,6,태양광발전 시스템의 설계 조건 및 검토 사항 설명,5. 신재생/신기술,태양광 시스템 설계조건 검토사항,중
125,4,1,LAN용 Twisted Pair Cable 전자파 차단원리 및 차폐종류 비교,8. 법규/설계,LAN 케이블 STP UTP 차폐원리,중
125,4,2,태양광발전설비 직류 지락차단장치의 시설방법 설명,5. 신재생/신기술,태양광 직류지락차단장치 RCM,상
125,4,3,건축화조명 방식(코브/코니스/밸런스 등)에 대하여 설명,4. 부하 설비,건축화조명 방식 종류,하
125,4,4,엘리베이터 안전장치 종류 및 설계/시공 시 고려사항 설명,4. 부하 설비,엘리베이터 안전장치 설계고려사항,중
125,4,5,연료전지의 발전원리와 재료 및 시스템 구성 설명,5. 신재생/신기술,연료전지 발전원리 시스템구성,중
125,4,6,동상 케이블 병렬 배선 시 이상 현상 및 전류 불평형 방지 대책,3. 수배전 설비,병렬케이블 전류불평형 방지대책,상
126,1,1,KEC 보호도체 단면적 선정 방법 설명,6. KEC/접지/방재,KEC 보호도체 단면적 산정식,중
126,1,2,합성수지관공사 이중천장 및 벽체 내 시설 KEC 개정 사유 및 내용,6. KEC/접지/방재,합성수지관공사 개정 KEC,하
126,1,3,비상콘센트설비의 전원회로 설치기준 설명,6. KEC/접지/방재,비상콘센트 전원회로 설치기준,하
126,1,4,전압강하와 전압변동률 비교 설명,1. 기초 이론,전압강하 전압변동률 비교,하
126,1,5,색온도와 조도가 인체에 미치는 느낌 설명,4. 부하 설비,색온도 조도 쾌적도,하
126,1,6,변압기의 절연방식(전절연 단절연 저감절연 균등절연),3. 수배전 설비,변압기 절연방식 단절연,중
126,1,7,정전압원과 정전류원의 정의 및 특징 설명,1. 기초 이론,정전압원 정전류원 회로이론,하
126,1,8,동기발전기의 전기자반작용 현상 설명,3. 수배전 설비,전기자반작용 감자교차 작용,중
126,1,9,주택용 및 산업용 MCCB KEC 기반 비교 설명,3. 수배전 설비,KEC MCCB 규격 비교,중
126,1,10,역률 개선 시 발생하는 자기여자현상 원인 및 대책,3. 수배전 설비,콘덴서 자기여자현상 잔류전압,상
126,1,11,직류 차단기 소호 방식 및 특징 설명,3. 수배전 설비,DC 차단기 소호방식,상
126,1,12,건물 에너지 효율등급 인증제도 및 제로에너지건축물 인증,7. 에너지/진단,에너지효율등급 제로에너지건축물,중
126,1,13,스마트시티(Smart City)의 개념 및 주요 기술 설명,5. 신재생/신기술,스마트시티 ICT 융합기술,하
126,2,1,분산형 전원 한전 계통 연계 시 보호협조 및 전력품질 영향,5. 신재생/신기술,분산형전원 계통연계 보호협조,상
126,2,2,수배전반 설계 시 열화 원인 및 예방진단 기술 설명,3. 수배전 설비,수배전반 열화 예방진단기술,중
126,2,3,전력 계통 중성점 접지 방식별 비교 및 특징 설명,2. 전력 계통,중성점 접지방식 비교 지락전류,중
126,2,4,BIM을 활용한 건축전기설비 설계 및 유지관리 효율성,8. 법규/설계,BIM 설계 공사효율화,중
126,2,5,공동주택 전력 간선 설계 시 수용률 산정 및 굵기 결정 방법,3. 수배전 설비,공동주택 간선설계 수용률 산정,중
126,2,6,전기저장장치(ESS) 화재 원인 분석 및 KEC 안전 기준,5. 신재생/신기술,ESS 화재대책 KEC 안전기준,상
126,3,1,대지저항률에 영향을 미치는 요인 및 측정 방법 설명,6. KEC/접지/방재,대지저항률 측정 웨너4전극법,중
126,3,2,연료전지의 발전 원리 및 종류 특징 설명,5. 신재생/신기술,연료전지 발전원리 PAFC SOFC,중
126,3,3,F1 F2 지점 3상 단락사고 시 단락전류 계산 및 차단기 용량 선정,2. 전력 계통,단락전류 계산 차단용량 선정,상
